r,centro,modelo,consec.,desc.,descripción_actual,tipo,mod.,placa,atributos,fecha_adquisición,valor_ingreso,ubicación,observaciones,evidencias,origen
76,922710,XPS-10,300430,MAQUINAS Y HERRAMIENTAS,MAQUINAS Y HERRAMIENTAS;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=N.A.;DIMENSION=N.A.;NOMBRE=TRANSDUCTOR ULTRASONICO;POTENCIA=N.A.;,4,INVE,92271016241,MARCA:SIEMENS;SERIAL:YSN-CN208058646;MODELO:XPS-10;OBSERVACIONES:Transductor ultrasónico,2023-06-09,"$6.925.140,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XPS-10,300430,MAQUINAS Y HERRAMIENTAS,MAQUINAS Y HERRAMIENTAS;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=N.A.;DIMENSION=N.A.;NOMBRE=TRANSDUCTOR ULTRASONICO;POTENCIA=N.A.;,4,INVE,92271016239,MARCA:SIEMENS;SERIAL:YSN/CN208058648;MODELO:XPS-10;OBSERVACIONES:Transductor ultrasónico,2023-06-09,"$6.925.140,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,LUT400,300419,MEDIDOR DE NIVEL,MEDIDOR DE NIVEL;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=ULTRASONICO;CAPACIDAD=N.A.;,4,INVE,92271016231,MARCA:SIEMENS;SERIAL:PVD-CO032018;MODELO:LUT400;OBSERVACIONES:Medidor de nivel ultrasónico,2023-06-09,"$8.437.200,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,LUT400,300419,MEDIDOR DE NIVEL,MEDIDOR DE NIVEL;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=ULTRASONICO;CAPACIDAD=N.A.;,4,INVE,92271016229,MARCA:SIEMENS;SERIAL:PBD/CO302156;MODELO:LUT400;OBSERVACIONES:Medidor de nivel ultrasónico,2023-06-09,"$8.437.200,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,LUT400,300419,MEDIDOR DE NIVEL,MEDIDOR DE NIVEL;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=ULTRASONICO;CAPACIDAD=N.A.;,4,INVE,92271016228,MARCA:SIEMENS;SERIAL:PBD/CO032032;MODELO:LUT400;OBSERVACIONES:Medidor de nivel ultrasónico,2023-06-09,"$8.437.200,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,LUT400,300419,MEDIDOR DE NIVEL,MEDIDOR DE NIVEL;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=ULTRASONICO;CAPACIDAD=N.A.;,4,INVE,92271016227,MARCA:SIEMENS;SERIAL:PBD/CO242015;MODELO:LUT400;OBSERVACIONES:Medidor de nivel ultrasónico,2023-06-09,"$8.437.200,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,ZVI-TMDP8,297126,PANTALLA,"TIPO ELEMENTO DEVOLUTIVO TAMAÑO N.A. UNIDAD DE MEDIDA UNIDAD CARACTERISTICA TACTIL, MEDICION DE PRESION EN LOS DEDOS MEMORIA N.A. TECNOLOGIA N.A.",4,INVE,92271015497,MARCA:Zennio;SERIAL: ;MODELO:ZVI-TMDP8;OBSERVACIONES:Pulsador táctil KNX con ocho botones multifunción programables que pueden ser utilizados como controles personalizados con indicadores LED. Además tiene 5 LEDS que pueden ser usados como botones adi,2020-12-04,"$1.230.288,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,G315C230,300420,PANTALLA,PANTALLA;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=RED LION;MEMORIA=N.A.;TAMAÑO=N.A.;TECNOLOGIA=N.A.;,4,INVE,92271016222,MARCA:RED LION;SERIAL:51122.0;MODELO:G315C230;OBSERVACIONES:pantalla red Lion,2023-06-09,"$12.245.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,LG308,296518,ROUTER O ENRUTADOR,"TIPO ELEMENTO DEVOLUTIVO UNIDAD DE MEDIDA UNIDAD CARACTERISTICA GATEWAY LORA DE UN CANAL, CON UNA RED IP POR MEDIO DE WIFI",4,INVE,92271015509,MARCA:DRAGINO;SERIAL: ;MODELO:LG308;OBSERVACIONES:Gateway LoRA Ref. LG308. El LG308 es un Gateway LoRa de código abierto. Le permite conectar la red inalámbrica LoRa a un Red IP vía WiFi Ethernet celular 3G o 4G. La conexión inalámbrica LoRa permit,2020-12-04,"$1.353.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016316,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6011.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016310,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:5998.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016309,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6042.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016308,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6026.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016307,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:5966.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016306,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6028.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016304,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6019.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016303,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6018.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300434,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA TERMOPAR K;POTENCIA=N.A.;,4,INVE,92271016302,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:5956.0;MODELO:XD (XP);OBSERVACIONES:TERMOPAR K,2023-06-09,"$609.090,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300434,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA TERMOPAR K;POTENCIA=N.A.;,4,INVE,92271016301,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:5962.0;MODELO:XD (XP);OBSERVACIONES:TERMOPAR K,2023-06-09,"$1.083.089,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300434,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA TERMOPAR K;POTENCIA=N.A.;,4,INVE,92271016300,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:5961.0;MODELO:XD (XP);OBSERVACIONES:TERMOPAR K,2023-06-09,"$1.083.090,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300434,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA TERMOPAR K;POTENCIA=N.A.;,4,INVE,92271016299,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:5967.0;MODELO:XD (XP);OBSERVACIONES:TERMOPAR K,2023-06-09,"$1.083.090,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300434,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA TERMOPAR K;POTENCIA=N.A.;,4,INVE,92271016298,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:5955.0;MODELO:XD (XP);OBSERVACIONES:TERMOPAR K,2023-06-09,"$1.083.090,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,UMC-3,300411,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=REMOTO Y TRANSMISOR CORIOLIS;POTENCIA=N.A.;,4,INVE,92271016215,"MARCA:KOBOLD;SERIAL:288346.0;MODELO:UMC-3;OBSERVACIONES:sensor remoto y transmisor ""coriolis",2023-06-09,"$28.835.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,UMC-3,300411,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=REMOTO Y TRANSMISOR CORIOLIS;POTENCIA=N.A.;,4,INVE,92271016214,"MARCA:KOBOLD;SERIAL:288339.0;MODELO:UMC-3;OBSERVACIONES:sensor remoto y transmisor ""coriolis",2023-06-09,"$28.835.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,UMC-3,300411,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=REMOTO Y TRANSMISOR CORIOLIS;POTENCIA=N.A.;,4,INVE,92271016213,"MARCA:KOBOLD;SERIAL:288337.0;MODELO:UMC-3;OBSERVACIONES:sensor remoto y transmisor ""coriolis",2023-06-09,"$28.835.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016320,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:5997.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016314,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6022.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016313,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6007.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016311,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6044.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016322,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6005.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$394.999,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016321,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6009.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016319,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6039.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,XD (XP),300435,SENSOR,SENSOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA RTD TE 101;POTENCIA=N.A.;,4,INVE,92271016318,MARCA:YUNG CHANG ELECTRICAL INSTRUMENT;SERIAL:6016.0;MODELO:XD (XP);OBSERVACIONES:RTD TE 101,2023-06-09,"$395.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,.,711,SILLA,TIPO ELEMENTO=ELEMENTO DEVOLUTIVO;UNIDAD DE MEDIDA=UNIDAD;,4,INVE,92271013939,MARCA:..;SERIAL:.;MODELO:.;OBSERVACIONES:Silla operativa con espaldar alto tapizado asiento y espaldar sin brazos con base en nylon con rodachinas con las siguientes especificiaciones: Asiento interno: Madera contrachapada.,2018-12-24,"$511.105,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,.,711,SILLA,TIPO ELEMENTO=ELEMENTO DEVOLUTIVO;UNIDAD DE MEDIDA=UNIDAD;,4,INVE,92271013938,MARCA:..;SERIAL:.;MODELO:.;OBSERVACIONES:Silla operativa con espaldar alto tapizado asiento y espaldar sin brazos con base en nylon con rodachinas con las siguientes especificiaciones: Asiento interno: Madera contrachapada.,2018-12-24,"$511.105,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,.,711,SILLA,TIPO ELEMENTO=ELEMENTO DEVOLUTIVO;UNIDAD DE MEDIDA=UNIDAD;,4,INVE,92271013937,MARCA:..;SERIAL:.;MODELO:.;OBSERVACIONES:Silla operativa con espaldar alto tapizado asiento y espaldar sin brazos con base en nylon con rodachinas con las siguientes especificiaciones: Asiento interno: Madera contrachapada.,2018-12-24,"$511.105,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,.,711,SILLA,TIPO ELEMENTO=ELEMENTO DEVOLUTIVO;UNIDAD DE MEDIDA=UNIDAD;,4,INVE,92271013940,MARCA:..;SERIAL:.;MODELO:.;OBSERVACIONES:Silla operativa con espaldar alto tapizado asiento y espaldar sin brazos con base en nylon con rodachinas con las siguientes especificiaciones: Asiento interno: Madera contrachapada.,2018-12-24,"$511.105,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,.,711,SILLA,TIPO ELEMENTO=ELEMENTO DEVOLUTIVO;UNIDAD DE MEDIDA=UNIDAD;,4,INVE,92271013936,MARCA:..;SERIAL:.;MODELO:.;OBSERVACIONES:Silla operativa con espaldar alto tapizado asiento y espaldar sin brazos con base en nylon con rodachinas con las siguientes especificiaciones: Asiento interno: Madera contrachapada.,2018-12-24,"$511.105,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,.,711,SILLA,TIPO ELEMENTO=ELEMENTO DEVOLUTIVO;UNIDAD DE MEDIDA=UNIDAD;,4,INVE,92271013941,MARCA:..;SERIAL:.;MODELO:.;OBSERVACIONES:Silla operativa con espaldar alto tapizado asiento y espaldar sin brazos con base en nylon con rodachinas con las siguientes especificiaciones: Asiento interno: Madera contrachapada.,2018-12-24,"$511.105,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,",",300429,TANQUE,TANQUE;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=REHERVIDOR DE COLUMNA DE PLATOS;CAPACIDAD=N.A.;MATERIAL=N.A.;,4,INVE,92271016219,MARCA: ;SERIAL: ;MODELO: ;OBSERVACIONES:Rehervidor de columna de platos,2023-06-09,"$13.892.940,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,",",300423,TANQUE,TANQUE;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE CONDENSADO;CAPACIDAD=N.A.;MATERIAL=N.A.;,4,INVE,92271016262,MARCA: ;SERIAL: ;MODELO: ;OBSERVACIONES:Tanque de condensado,2023-06-09,"$3.555.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,",",300423,TANQUE,TANQUE;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE CONDENSADO;CAPACIDAD=N.A.;MATERIAL=N.A.;,4,INVE,92271016263,MARCA: ;SERIAL: ;MODELO: ;OBSERVACIONES:Tanque de condensado,2023-06-09,"$3.555.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,",",300425,TANQUE,TANQUE;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE PRODUCTO;CAPACIDAD=N.A.;MATERIAL=N.A.;,4,INVE,92271016237,MARCA: ;SERIAL: ;MODELO: ;OBSERVACIONES:Tanque de producto,2023-06-09,"$7.505.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,",",300426,TANQUE,TANQUE;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=INTERMEDIO;CAPACIDAD=N.A.;MATERIAL=N.A.;,4,INVE,92271016233,MARCA: ;SERIAL: ;MODELO: ;OBSERVACIONES:Tanques intermedios,2023-06-09,"$8.295.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,",",300426,TANQUE,TANQUE;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=INTERMEDIO;CAPACIDAD=N.A.;MATERIAL=N.A.;,4,INVE,92271016232,MARCA: ;SERIAL: ;MODELO: ;OBSERVACIONES:Tanques intermedios,2023-06-09,"$8.295.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,",",300428,TANQUE,TANQUE;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=REHERVIDOR DE COLUMNA EMPACADA;CAPACIDAD=N.A.;MATERIAL=N.A.;,4,INVE,92271016218,MARCA: ;SERIAL: ;MODELO: ;OBSERVACIONES:Rehervidor de columna empacada,2023-06-09,"$13.892.940,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,42570,232259,TERMOMETRO,TIPO ELEMENTO DEVOLUTIVO UNIDAD DE MEDIDA UNIDAD CARACTERISTICA INDUSTRIAL INFRARROJO,4,INVE,92271015783,MARCA:extech;SERIAL:2.070898E7;MODELO:42570.0;OBSERVACIONES:Termómetro infrarrojo. Relación de distancia al objetivo de 50:1 doble puntero láser emisividad ajustable resolución de 0 1°C. Rango en infrarrojo (-50 to 2200°C) Incluye sonda tipo K cable USB,2021-04-09,"$2.230.000,00",,,,ARIAS FIGUEROA JAIME DIEGO
76,922710,TT301,300418,TRANSMISOR,TRANSMISOR;TIPO ELEMENTO=DEVOLUTIVO SENA;UNIDAD DE MEDIDA=UNIDAD;CARACTERISTICA=DE TEMPERATURA;,4,INVE,92271016297,MARCA:SMAR;SERIAL:77181-2013;MODELO:TT301;OBSERVACIONES:transmisor de temperatura,2023-06-09,"$1.762.490,00",,,,ARIAS FIGUEROA JAIME DIEGO
